ObjectNum,Name,Type,Constellation,Magnitude,Info,RAHour,RAMinute,DecSign,DecDeg,DecMinute
   1408,ESO 358-?48,,For,,F,3,39.4,-,35,31
   1409,UGC 2821,Galaxy,Tau,15,"Size: 1.3  eF, stellar or lE",3,41.2,-,1,17
   1410,UGC 2821,Galaxy,Tau,,"makes Dneb with 1409, pos 0deg",3,41.2,-,1,17
   1411,IC 1943,Galaxy,Hor,12,"Size: 2.8  B, pS, R, smbM",3,38.8,-,44,5
   1412,ESO 482-G029,,For,,"F, S, E, gbM, * sf 2'",3,40.6,-,26,13
   1413,NPM1G -15.0199,Galaxy,Eri,,"eF, vS, R, lbM",3,40.3,-,15,35
   1414,ESO 548-71,,Eri,,"eF, pS, mE 0deg , bMN",3,41.5,-,21,41
   1415,IC 1983,Galaxy,Eri,12,"Size: 3.6  pB, S, lE, pglbM, * sf",3,41,-,22,34
   1416,ESO 482-34,Galaxy,Eri,14,"Size: 1.5  eF, S, R, *8.6 n 2'",3,41,-,22,43
   1417,MCG 1-10-21,Galaxy,Eri,12,"Size: 2.8  pF, pL, lE, lbM, * sf",3,42,-,4,42
   1418,MCG 1-10-22,Galaxy,Eri,15,"Size: 1.5  vF, S, E, *11 sf 1'",3,42.3,-,4,44
   1419,ESO 301-23,Galaxy,Eri,,"pF, pS, R, psbM",3,40.6,-,37,31
   1420,,Triple Star,Eri,,"F, vS, *13 p",3,42.7,-,5,51
   1421,MCG 2-10-8,Galaxy,Eri,11.4,"Size: 3.6  F, cL, mE 0deg , r",3,42.5,-,13,29
   1422,ESO 548-77,Galaxy,Eri,13,"Size: 2.1  eF, pS, E 80deg",3,41.5,-,21,41
   1423,MCG 1-10-25,Galaxy,Eri,15,"eeF, S, R, v diffic",3,42.6,-,6,22
   1424,NGC 1429,Galaxy,Eri,15,"Size: 2.1  vF, *10-11 np",3,43.2,-,4,44
   1425,ESO 419-4,Galaxy,For,12,"Size: 5.4  F, pL, iR, gbM",3,42.2,-,29,54
   1426,ESO 549-1,Galaxy,Eri,11.4,"Size: 2.1  pF, S, lE, bM",3,42.8,-,22,7
   1427,ESO 358-52,Galaxy,For,12,"Size: 2.8  pF, S, R, psmbM",3,42.3,-,35,25
   1428,ESO 358-53,Galaxy,For,,Size: 1.8  F,3,42.4,-,35,10
   1429,,Star,Eri,,"eF, vS, E 0deg , gbMN, f of 2",3,44,-,4,43
   1430,,,Eri,,"eF, S, E 20deg , sbMN",3,43.4,-,18,14
   1431,UGC 2845,Galaxy,Tau,15,"eF, pL, iR",3,44.6,+,2,51
   1432,LBN 772,Nebula,Tau,,"Size: 30.  eF, vL, dif (Maia,  in Pleiad",3,45.8,+,24,22
   1433,ESO 249-14,Galaxy,Hor,10,"Size: 6.8  vB, L, pmE, vsvmbM *10",3,42,-,47,13
   1434,,,Eri,,"eF, S, R, *8.5 f 25s , n 3'",3,44.4,-,9,41
   1435,CED 19I,Nebula,Tau,,"Size: 30.  vF, vL, dif (Merope)",3,46.1,+,23,47
   1436,NGC 1437,Galaxy,Eri,,"glob. cl. , vB, pmE, pgbM; = 1437",3,43.6,-,35,51
   1437,NGC 1436,Galaxy,Eri,12,"Size: 2.9  F, vL, R, glbM",3,43.6,-,35,52
   1438,ESO 482-41,Galaxy,Eri,,"Size: 2.6  eF, mE, N, *10 f 1'",3,45.4,-,23,1
   1439,ESO 549-9,Galaxy,Eri,12,"Size: 2.3  F, pS, gpmbM",3,44.8,-,21,55
   1440,NGC 1442,Galaxy,Eri,13,"Size: 2.3  pB, pS, R, smbM *13",3,45,-,18,16
   1441,MCG 1-10-29,Galaxy,Eri,12.9,"Size: 1.5  vF, S, iE, *12 f",3,45.7,-,4,6
   1442,NGC 1440,Galaxy,Eri,,"pB, vS, bM; = 1440",3,45,-,18,16
   1443,,Star,Eri,,"vF, nf 1441",3,45.7,-,4,1
   1444,OCL 394,Open Cluster,Per,6.6,Size: 4.  Cl of ab 30 st 12...14,3,49.4,+,52,40
   1445,,Galaxy,Eri,,"vF, S, R, *9 np 2'",3,44.9,-,9,50
   1446,NGC 1451,Galaxy,Eri,14,"Size: 0.4  eF, f 1441",3,46,-,4,4
   1447,NPM1G -09.0165,Galaxy,Eri,,"vF, S, R, neb? *7-8 f 3'",3,45.8,-,8,59
   1448,NGC 1457,Galaxy,Hor,11,"Size: 8.1  pB, L, vmE 222deg ; = 1457",3,44.5,-,44,39
   1449,MCG 1-10-32,Galaxy,Eri,13.5,"Size: 1.1  vF, vS, vlE",3,46,-,4,8
   1450,,Galaxy,Eri,,"eF, pS, R (D, dist 0'.4?)",3,45.6,-,9,13
   1451,NGC 1446,Galaxy,Eri,13.3,"Size: 0.7  vF, vS, lE",3,46.1,-,4,4
   1452,NGC 1455,Galaxy,Eri,13,"Size: 1.7  F, R, lbM, hazy *",3,45.4,-,18,38
   1453,MCG 1-10-34,Galaxy,Eri,11.6,"Size: 2.1  pB, S, R, *17 in M",3,46.4,-,3,58
   1454,,,Eri,,"vF, eS, R, (*?), *9.5 sp 3'",3,45.9,-,20,41
   1455,NGC 1452,Galaxy,Eri,,"Size: 2.6  vF, S, lE 30deg , sbMN; = 145",3,45.4,-,18,38
   1456,,,Tau,,"D* 10-12, comp nebulous at 130deg , 9""",3,48.2,+,22,34
   1457,NGC 1448,Galaxy,Hor,,"pF, pL, eE 42deg , vgpmbM; = 1448",3,44.5,-,44,38
   1458,,,Eri,,nonexistent,3,47,-,18,15
   1459,ESO 482-43,Galaxy,For,14,"eF, pS, gbM",3,47,-,25,31
   1460,ESO 358-62,Galaxy,Eri,,"F, S, R, * att",3,46.1,-,36,41
   1461,MCG 3-10-47,Galaxy,Eri,11.7,"Size: 3.3  pB, S, lE, mbMN",3,48.5,-,16,24
   1462,MCG 1-10-10,Galaxy,Tau,15,"vF, S, vlE",3,50.3,+,6,59
   1463,ESO 117-9,Galaxy,Ret,,"cF, S, R, glbM, am 7 B st",3,46.2,-,59,48
   1464,NGC 1471,Galaxy,Eri,,"pF, S, R, 2 st nr",3,51.4,-,15,25
   1465,UGC 2891,Galaxy,Per,15,"pF, pS, R, pB* nr p",3,53.6,+,32,28
   1466,ESO 54-SC16,Globular Cluster,Hyi,11.4,"Size: 2.3  pF, pS, iR, glbM, *7 f",3,44.5,-,71,41
   1467,MCG 2-10-15,Galaxy,Eri,15,"eF, vS, R, *9 s 4'",3,51.9,-,8,51
   1468,MCG 1-10-45,Galaxy,Eri,15,"vF, vS, R, bM",3,52.2,-,6,21
   1469,UGC 2909,Galaxy,Cam,15,"Size: 2.3  vF, vS, R, B* nr",4,0.5,+,68,35
   1470,MCG 2-10-16,Galaxy,Eri,15,"eF, S, E 0deg",3,52.2,-,9,1
   1471,NGC 1464,,Eri,,"vF, vS, E 45deg ; = 1464?",3,53.1,-,15,24
   1472,NPM1G -08.0152,Galaxy,Eri,,"vF, eS, stell N, 1st of 3",3,53.7,-,8,35
   1473,ESO 54-19,Galaxy,Hyi,,"cF, pL, R, gvlbM",3,47.4,-,68,12
   1474,IC 2002,Galaxy,Eri,14,"vF, S, R",3,54.2,-,10,25
   1475,,,Eri,,"eF, eS, R, *14 np 4'",3,54.1,-,8,7
   1476,ESO 249-24,Galaxy,Hor,,"Size: 1.7  cF, S, E 90deg , gbM",3,52.1,-,44,32
   1477,NPM1G -08.0154,Galaxy,Eri,,"eF, vS, 2nd of 3",3,54,-,8,35
   1478,NPM1G -08.0155,Galaxy,Eri,,"eF, vS, 3rd of 3",3,54.1,-,8,34
   1479,,,Eri,,"eF, S, E, p of 2",3,54.4,-,10,12
   1480,,,Eri,,"eF, S, iR, f of 2, *10 f 30s",3,54.5,-,10,16
   1481,ESO 549-32,Galaxy,Eri,15,"eF, S, R, 2 B st f, p of 2",3,54.4,-,20,25
   1482,ESO 549-33,Galaxy,Eri,14,"Size: 1.5  F, S, vlE, 2 st 10 nr, f of 2",3,54.7,-,20,30
   1483,ESO 201-7,Galaxy,Hor,,"cF, pL, R, vglbM",3,52.7,-,47,29
   1484,ESO 359-6,Galaxy,Eri,,"vF, L, E, vgvlbM",3,54.2,-,37,0
   1485,UGC 2933,Galaxy,Cam,14,"Size: 2.4  eF, pS, R",4,5.1,+,71,0
   1486,ESO 549-37,Galaxy,Eri,15,"eF, vS, R",3,56.3,-,21,49
   1487,ESO 249-31,Galaxy,Eri,12,"Size: 2.0  pB, pL, R, gbM, 2 st triangle",3,55.8,-,42,22
   1488,,Galaxy,Tau,15,*12 inv in neb,3,58.1,+,18,34
   1489,ESO 549-42,Galaxy,Eri,14,"eF, pS, E 190deg",3,57.6,-,19,14
   1490,ESO 83-11,Galaxy,Ret,,"pB, S, vlE, pmbM",3,53.5,-,66,2
   1491,LBN 704,Nebula,Per,,"Size: 3.  vB, S, iF, bM, r, * inv",4,3.4,+,51,19
   1492,ESO 359-12,Galaxy,Eri,,"vF, vS, R",3,58.1,-,35,27
   1493,ESO 249-33,Galaxy,Hor,12,"Size: 2.6  F, cL, R, vglbM",3,57.5,-,46,12
   1494,ESO 201-12,Galaxy,Hor,12,"Size: 2.6  F, L, R, vgvlbM, 3 st n",3,57.7,-,48,54
   1495,ESO 249-34,Galaxy,Hor,,"Size: 2.9  eF, S, lE 90deg , vgvlbM",3,58.4,-,44,28
   1496,OCL 396,Open Cluster,Per,10,"Size: 6.  Cl, segment of a ring",4,4.4,+,52,37
   1497,UGC 2929,Galaxy,Tau,14,"eF, vS, iR, mbM",4,2.1,+,23,8
   1498,,,Eri,,"Cl, S, C",4,0.5,-,12,1
   1499,LBN 756,Nebula,Per,,"Size: 145.  vF, vL, E ns, dif",4,0.7,+,36,37
   1500,ESO 201-13,Galaxy,Dor,,"F, vS, R, pmbM, *8 np",3,58.2,-,52,19
   1501,PK 144+6.1,Planetary Nebula,Cam,13,"Size: 0.9  PN , pB, pS, vlE, 1' diam",4,7,+,60,55
   1502,OCL 383,Open Cluster,Cam,5.7,"Size: 8.  Cl, pRi, cC, iF",4,7.7,+,62,20
   1503,ESO 83-13,Galaxy,Ret,,"eF, pS, R, *10 np",3,56.5,-,66,2
   1504,MCG 2-11-8,Galaxy,Eri,15,"eF, S, R, gbM",4,2.5,-,9,19
   1505,MCG 2-11-9,Galaxy,Eri,15,"eF, S, R, gbM",4,2.7,-,9,18
   1506,ESO 156-27,Galaxy,Dor,,"eeeF, S, R, bet 2 st 12 & 13",4,0.4,-,52,34
   1507,UGC 2947,Galaxy,Eri,12.2,"Size: 3.4  vF, pL, mE, vlbM, er",4,4.5,-,2,11
   1508,MCG 4-10-21,Galaxy,Tau,15,"vF, vS, R, bM, r",4,5.8,+,25,24
   1509,IC 2026,Galaxy,Eri,15,"vF, vS, lE, F* nr p",4,4,-,11,12
   1510,ESO 250-3,Galaxy,Hor,13,"Size: 1.0  F, pL, R, vgmbM",4,3.5,-,43,25
   1511,ESO 55-4,Galaxy,Hyi,12,"Size: 3.3  pB, pS, mE 121deg .5, gbM",3,59.5,-,67,38
   1512,ESO 250-4,Galaxy,Hor,10.6,"Size: 4.0  eF ring , B, cL, R, bM",4,3.9,-,43,21
   1513,OCL 398,Open Cluster,Per,8.4,"Size: 9.  Cl, L, vRi, pC, st vL",4,10,+,49,31
   1514,PK 165-15.1,Planetary Nebula,Tau,10,Size: 1.9  *9 in neb 3' diam,4,9.2,+,30,47
   1515,ESO 156-36,Galaxy,Dor,11,"Size: 5.4  B, L, vmE 10deg , bM",4,4.1,-,54,6
   1516,,Galaxy,Eri,15,"eeF, S, E, psmbM, er",4,8.1,-,8,53
   1517,UGC 2970,Galaxy,Tau,14,"vF, vS, R, r, *9-10 sf",4,9.3,+,8,39
   1518,ESO 550-7,Galaxy,Eri,11.8,"Size: 3.0  B, L, pmE, gbM, *8 sp",4,6.8,-,21,11
   1519,ESO 550-9,Galaxy,Eri,13,"Size: 2.0  vF, S, lE, vS* inv",4,8.1,-,17,12
   1520,ESO 32-SC5,Open Cluster,Men,,"Cl, pL, lRi, st 9-10",3,57.5,-,76,50
   1521,ESO 550-11,Galaxy,Eri,11.4,"Size: 2.9  pB, R, bM",4,8.3,-,21,3
   1522,ESO 156-38,Galaxy,Dor,,"eF, vS, R, vlbM",4,6.1,-,52,40
   1523,ESO 156-**39,Asterism,Dor,,only 3 vF st (not a neb),4,6.2,-,54,6
   1524,NGC 1516,,Eri,,"eF, pS, R, gbM, Dneb with 1525",4,10.3,-,8,48
   1525,NGC 1516,,Eri,,"eF, pS, R, gbM, at 340deg , 0'.5 from 15",4,10.3,-,8,48
   1526,ESO 84-3,Galaxy,Ret,,"eF, vS, R, glbM",4,5.2,-,65,50
   1527,ESO 201-20,Galaxy,Hor,12,"Size: 3.4  pB, pS, E 77deg , vsmbMRN",4,8.4,-,47,53
   1528,OCL 397,Open Cluster,Per,6.4,"Size: 24.  Cl, B, vRi, cC",4,15.4,+,51,14
   1529,ESO 84-4,Galaxy,Ret,,"vF, S, R, gbM",4,7.2,-,62,54
   1530,IC 381,Galaxy,Cam,12,"Size: 4.9  pB, L",4,23.4,+,75,18
   1531,ESO 359-26,Galaxy,Eri,12.1,"Size: 1.3  pB, pL, R, bM, np of 2",4,12,-,32,51
   1532,ESO 359-27,Galaxy,Eri,11,"Size: 5.6  B, vL, vmE 32deg , psmbM",4,12.1,-,32,52
   1533,ESO 157-3,Galaxy,Dor,10.9,"Size: 2.9  vB, vL, R, smbM, 2 st 10 nf",4,9.9,-,56,7
   1534,ESO 84-6,Galaxy,Ret,,"F, S, R, vS* 3/4deg sf",4,8.8,-,62,47
   1535,PK 206-40.1,Planetary Nebula,Eri,10,"Size: 0.7  PN , vB, S, R, pS, vsbM, r",4,14.2,-,12,44
   1536,ESO 157-5,Galaxy,Ret,13,"Size: 2.0  vF, R, pL, vlbM",4,11,-,56,29
   1537,ESO 420-12,Galaxy,Eri,12,"vB, pS, lE, psvmbM",4,13.7,-,31,39
   1538,NPM1G -13.0171,Galaxy,Eri,15,"eF, vS, R, gbM",4,14.7,-,13,12
   1539,ZWG 488. 1,Galaxy,Tau,15,"vF, vS, gbM",4,19,+,26,51
   1540,ESO 420-14,Galaxy,Eri,,"Size: 1.2  vF, vS, E, gvlbM, r",4,15.2,-,28,29
   1541,UGC 3001,Galaxy,Tau,15,"vF, S",4,17,+,0,50
   1542,UGC 3003,Galaxy,Tau,15,"vF, S, E",4,17.2,+,4,48
   1543,ESO 118-10,Galaxy,Ret,10.6,"Size: 3.9  B, pL, E, smbMN = *11",4,12.8,-,57,44
   1544,UGC 3160,Galaxy,Cep,14,"vF, vS",5,3,+,86,13
   1545,OCL 399,Open Cluster,Per,6.2,"Size: 18.  Cl, pRi, lC, st L",4,20.9,+,50,15
   1546,ESO 157-12,Galaxy,Dor,11.6,"Size: 3.2  pB, lE, gbMEN, **  p",4,14.6,-,56,4
   1547,ESO 550-G018,,Eri,,"pF, pS, iR, Cl",4,17.2,-,17,53
   1548,,Open Cluster,Per,,"Cl, vL, lRi, lC, st 10...12",4,21,+,36,56
   1549,ESO 157-16,Galaxy,Dor,9.9,"Size: 3.7  B, pS, R",4,15.7,-,55,36
   1550,NGC 1551,Galaxy,Tau,14,"vF, S, R, *13 nr",4,19.6,+,2,26
   1551,NGC 1550,,Tau,,"F, vS, R, probably = 1550",4,19.6,+,1,25
   1552,UGC 3015,Galaxy,Eri,14,"cF, pS, lE, vgbM, *11 sp",4,20.3,-,0,40
   1553,ESO 157-17,Galaxy,Dor,9.5,"Size: 4.1  vB, pS, R, gmbM, am 3 st; a D",4,16.2,-,55,47
   1554,LBN 817,Nebula,Tau,,"!!! var, S, R, Nn = *13",4,21.8,+,19,32
   1555,DG 31,Nebula,Tau,,"!!! vF, S, variable",4,22.9,+,19,32
   1556,ESO 202-4,Galaxy,Dor,,"cF, S, E 165deg , vglbM",4,17.7,-,50,10
   1557,ESO 55-**15,,Hyi,,"Cl, vlC, ab 20 sc st",4,13.3,-,70,25
   1558,ESO 250-17,Galaxy,Hor,,"pF, S, E, gbM",4,19.3,-,45,2
   1559,ESO 84-10,Galaxy,Ret,10.5,"Size: 3.3  vB, vL, mE, vgpmbM, *14 att n",4,17.6,-,62,47
   1560,IC 2062,Galaxy,Cam,11.5,"Size: 9.8  vF, L, E, *9.3 sp",4,32.8,+,71,53
   1561,MCG 3-12-6,Galaxy,Eri,15,"vF, vS, lE 170deg , glbM, *8 p 6s",4,23,-,15,51
   1562,NPM1G -15.0224,Galaxy,Eri,,"vF, eS, R, glbM",4,21.7,-,15,45
   1563,MCG 3-12-5,,Eri,,"eF, vS, R, lbM, D with 1564",4,22.9,-,15,44
   1564,NPM1G -15.0226,Galaxy,Eri,,"eF, vS, R, lbM, D with 1563",4,22.9,-,15,44
   1565,MCG 3-12-7,Galaxy,Eri,15,"eF, pS, lE",4,23.4,-,15,45
   1566,ESO 157-20,Galaxy,Dor,9.4,"Size: 7.6  B, vL, VG, svmbM, 15s  d in R",4,20,-,54,56
   1567,ESO 202-10,Galaxy,Cae,,"Size: 1.2  F, S, R, bM",4,21.1,-,48,15
   1568,UGC 3031,Galaxy,Eri,15,"eF, vS, R, nearly bet 2 st",4,24.4,-,0,45
   1569,UGC 3056,Galaxy,Cam,11.2,"Size: 2.9  pB, S, lE, BNM, *9.5 n 1'",4,30.8,+,64,51
   1570,NGC 1571,Galaxy,Cae,,"F, S, R, gbM; = 1571",4,22.1,-,43,38
   1571,NGC 1570,Galaxy,Cae,,"vF, S, R, gbM, **  nf",4,22.2,-,43,38
   1572,ESO 303-14,Galaxy,Cae,,"pF, S, R, *13 nf 1'",4,22.6,-,40,36
   1573,UGC 3077?,Galaxy,Cam,14,"Size: 2.2  vF, S, *9.5 f",4,35,+,73,15
   1574,ESO 157-22,Galaxy,Ret,10.5,"Size: 2.0  pB, S, R, pgbM, 2 S st sf",4,22,-,56,58
   1575,NGC 1577,Galaxy,Eri,13,"vF, pS, R, *9.5 s 2'; = 1577",4,26.3,-,10,7
   1576,MCG 1-12-7,Galaxy,Eri,15,"eF, bM, bet 2 st",4,26.2,-,3,37
   1577,NGC 1575,Galaxy,Eri,13,"vF, pL, R, lbM, * nr s",4,26.3,-,10,7
   1578,ESO 202-14,Galaxy,Dor,,"pF, S, R, bM",4,23.8,-,51,35
   1579,LBN 766,Nebula,Per,,"Size: 12.  pB, vL, iR, mbM, *8 350deg , ",4,30.2,+,35,16
   1580,MCG 1-12-11,Galaxy,Eri,14,"vF, vS, R, r",4,28.2,-,5,11
   1581,ESO 157-26,Galaxy,Dor,,"F, S, E, glbM",4,24.7,-,54,56
   1582,OCL 407,Open Cluster,Per,7,"Size: 37.  Cl, vL, pRi, lC, st L",4,32,+,43,51
   1583,ESO 551-8,Galaxy,Eri,15,"F, vS, R, sbMN",4,28.3,-,17,37
   1584,ESO 551-6,Galaxy,Eri,,"F, eS, R, sbMN",4,28.1,-,17,32
   1585,ESO 303-18,Galaxy,Cae,,"pF, S, R, gbM, *12 288deg",4,27.5,-,42,9
   1586,UGC 3062,Galaxy,Eri,14,"vF, iF, vlbM, bet **  & *14",4,30.7,-,0,19
   1587,UGC 3063,Galaxy,Tau,13,"Size: 2.0  F, pS, R, r, p of Dneb",4,30.7,+,0,40
   1588,UGC 3064,Galaxy,Tau,14,"Size: 1.8  F, vS, R, r, f of Dneb",4,30.8,+,0,39
   1589,UGC 3065,Galaxy,Tau,14,"Size: 3.1  F, pL, lE 132deg , * 42deg , ",4,30.8,+,0,51
   1590,UGC 3071,Galaxy,Tau,15,"Size: 1.3  F, S, *12 nf",4,31.2,+,7,37
   1591,ESO 484-25,Galaxy,Eri,13,"pF, pS, R, gbM",4,29.4,-,26,44
   1592,ESO 421-G002,,Eri,,only F st,4,29.6,-,26,58
   1593,NGC 1608,Galaxy,Tau,,vF; = 1608,4,31.9,+,0,34
   1594,IC 2075,Galaxy,Eri,14,"vF, pS",4,30.8,-,5,48
   1595,ESO 202-25,Galaxy,Cae,,"Size: 1.5  vF, S, R, bM",4,28.4,-,47,49
   1596,ESO 157-31,Galaxy,Dor,11,"Size: 3.9  B, pL, mE 15deg , smbM, p of ",4,27.6,-,55,2
   1597,MCG 2-12-32,Galaxy,Eri,15,"eF, vS, R, gbM",4,31.2,-,11,17
   1598,ESO 202-26,Galaxy,Cae,,"Size: 1.6  F, S, R, bM",4,28.6,-,47,47
   1599,MCG 1-12-16,Galaxy,Eri,15,"Size: 1.1  vF, vS, R, vlbM",4,31.6,-,4,35
   1600,MCG 1-12-17,Galaxy,Eri,11.1,"Size: 2.5  pB, pL, R, gmbM",4,31.7,-,5,5
   1601,MCG 1-12-18,Galaxy,Eri,13.8,"Size: 1.0  vF, vS",4,31.8,-,5,6
   1602,ESO 157-32,Galaxy,Dor,,"eF, pL, lE, f of 2",4,27.9,-,55,3
   1603,MCG 1-12-19,Galaxy,Eri,15,"vF, vS",4,31.7,-,5,6
   1604,MCG 1-12-20,Galaxy,Eri,14,"eF, S, R, bet * & D*",4,31.9,-,5,22
   1605,OCL 406,Open Cluster,Per,10.7,"Size: 5.  Cl, vF, pS, C, st eS",4,35,+,45,15
   1606,MCG 1-12-22,Galaxy,Eri,,eF,4,32.1,-,5,2
   1607,MCG 1-12-23,Galaxy,Eri,15,"F, S, R, lbM",4,32,-,4,27
   1608,NGC 1593,Galaxy,Tau,15,"pF, cS, *12 2' n; = IC 2077",4,31.9,+,0,35
   1609,MCG 1-12-25,Galaxy,Eri,15,"vF, eS, *17 45"" n",4,32.6,-,4,22
   1610,,Galaxy,Eri,,"eF, vS, R, bMN",4,34.1,-,4,42
   1611,MCG 1-12-29,Galaxy,Eri,15,"eF, S, E 90deg +/-",4,33,-,4,17
   1612,MCG 1-12-30,Galaxy,Eri,15,"vF, vS, R, gmbM",4,33.1,-,4,10
   1613,MCG 1-12-31,Galaxy,Eri,15,"F, vS, R, mbM",4,33.3,-,4,15
   1614,MCG 1-12-32,Galaxy,Eri,12.9,"Size: 1.3  pF, S, R, lbM",4,34,-,8,35
   1615,UGC 3096,Galaxy,Tau,15,"Size: 1.6  vF, vS, R, lbM, vS* inv",4,36,+,19,57
   1616,ESO 251-10,Galaxy,Cae,,"F, S, E, vglbM",4,32.7,-,43,43
   1617,ESO 157-41,Galaxy,Dor,10.4,"Size: 4.7  B, L, mE 106deg , vg, vsmbMN ",4,31.7,-,54,36
   1618,MCG 1-12-34,Galaxy,Eri,12.6,"Size: 2.8  F, S, iF, lbM, 2 st sf",4,36.1,-,3,9
   1619,,,Eri,,"eeF, S, R; nonexistent?",4,36.2,-,4,50
   1620,UGC 3103,Galaxy,Eri,14,"Size: 3.0  vF, pL, mE 140deg , B**  nf",4,36.6,-,0,9
   1621,NGC 1626,Galaxy,Eri,14,"eF, S, R, lbM",4,36.3,-,4,58
   1622,Ho 77a,Galaxy,Eri,12.3,"Size: 3.9  vF, S, *20 p 5s , 1618 p",4,36.6,-,3,11
   1623,DRCG 10-7,Galaxy,Eri,,"eF, vS, R, gbMN",4,34.9,-,13,31
   1624,OCL 403,Cluster Nebulosity,Per,10.4,"Size: 5.  F, cL, iF, 6 or 7 st + neb",4,40.4,+,50,27
   1625,MCG 1-12-38,Galaxy,Eri,12.4,"Size: 2.7  vF, E 141deg , sbM, F* att np",4,37.1,-,3,18
   1626,NGC 1621,,Eri,,"eF, vS, R, *8 np",4,37.2,-,5,0
   1627,MCG 1-12-40,Galaxy,Eri,13,"eF, pL, R, 2 st sf, s of 2",4,37.5,-,4,51
   1628,MCG 1-12-39,Galaxy,Eri,14,"vF, pS, mE ns, n of 2",4,37.5,-,4,42
   1629,ESO 55-SC24,Open Cluster,Hyi,,"vF, pL, R, glbM",4,29.3,-,71,50
   1630,ESO 551-19,Galaxy,Eri,,"eF, eS, R",4,37.3,-,18,54
   1631,ESO 551-21,Galaxy,Eri,14,"vF, S",4,38.4,-,20,40
   1632,IC 386,Galaxy,Eri,13,"eF, vS, R",4,37.9,-,9,31
   1633,UGC 3125,Galaxy,Tau,14,"eF, S, R, *8 sp, p of Dneb",4,40,+,7,21
   1634,MCG 1-12-15,Galaxy,Tau,15,"eF, vS, f of Dneb",4,40,+,7,20
   1635,UGC 3126,Galaxy,Eri,14,"Size: 1.7  F, S, R, bM, *11 nf 12s",4,40.1,-,0,33
   1636,MCG 1-12-42,Galaxy,Eri,14,"vF, pS, R, vgbM, r, * nf 1'",4,40.7,-,8,36
   1637,MCG 0-12-68,Galaxy,Eri,10.9,"Size: 3.3  cB, L, R, vgbM",4,41.5,-,2,51
   1638,UGC 3133,Galaxy,Eri,12.1,"Size: 2.5  F, pL, lE",4,41.6,-,1,49
   1639,,Triple Star,Eri,,only 3 st 12.5 forming equilateral trian,4,40.9,-,17,0
   1640,ESO 551-27,Galaxy,Eri,11.7,"Size: 2.8  vF, pS, E 40deg , gbM",4,42.2,-,20,26
   1641,ESO 84-SC24,Open Cluster,Dor,,"Cl, pL, pRi, pmC, st 11...16",4,36.1,-,65,46
   1642,UGC 3140,Galaxy,Tau,14,"Size: 2.0  F, R, cometary, triangle with",4,42.9,+,0,37
   1643,MCG 1-13-1,Galaxy,Eri,14,"F, vS, iR, bM",4,43.6,-,5,17
   1644,ESO 84-SC30,Globular Cluster,Dor,13,"F, S, R, gbM",4,38,-,66,12
   1645,MCG 1-13-2,Galaxy,Eri,14,"vF, pS, R (1643 np)",4,44,-,5,26
   1646,MCG 1-13-3,Galaxy,Eri,14,"F, vS, iR, bM, *7 np",4,44.3,-,8,33
   1647,OCL 457,Open Cluster,Tau,6.4,"Size: 45.  Cl, vL, st L, sc",4,46,+,19,4
   1648,MCG 1-13-4,Galaxy,Eri,16,"eeF, pS, v diffic, 1646 sp",4,44.5,-,8,29
   1649,NGC 1652,,Dor,,"F, pS, R, gbM; = 1652?",4,38.1,-,68,49
   1650,MCG 3-13-1,Galaxy,Eri,14,"vF, pS, E 0deg , bMN",4,45.1,-,15,51
   1651,ESO 55-SC30,Globular Cluster,Men,,"pF, L, vlE, vglbM",4,37.5,-,70,35
   1652,NGC 1649,Globular Cluster,Dor,,"vF, S, R, glbM",4,38.1,-,68,40
   1653,UGC 3153,Galaxy,Eri,13,"Size: 2.0  F, cS, R, lbM",4,45.8,-,2,25
   1654,UGC 3154,Galaxy,Eri,14,"Size: 1.0  F, S, R, lbM, r? p of 2",4,45.8,-,2,6
   1655,,,Tau,,hazy *,4,46.2,+,20,56
   1656,MCG 1-13-5,Galaxy,Eri,14,"L, stell N in F neb E npsf",4,45.8,-,5,8
   1657,UGC 3156,Galaxy,Eri,15,fainter but larger than 1654,4,46.2,-,2,4
   1658,ESO 304-16,Galaxy,Cae,,"F, pS, pmE, glbM",4,44,-,41,27
   1659,MCG 1-13-6,Galaxy,Eri,12.5,"Size: 1.7  pF, pS, iE 90deg +/- , bM",4,46.5,-,4,47
   1660,ESO 304-18,Galaxy,Cae,,"vF, S, lE, glbM",4,44.2,-,41,29
   1661,UGC 3166,Galaxy,Ori,14,"vF, vS, bM",4,47.2,-,2,3
   1662,OCL 470,Open Cluster,Ori,6.4,Size: 20.  Cl of L & S sc st,4,48.5,+,10,56
   1663,OCL 461,Open Cluster,Ori,,"Cl, lRi, st L & S",4,48.6,+,13,10
   1664,OCL 411,Open Cluster,Aur,7.6,"Size: 18.  Cl, lRi, lC, pL",4,51.1,+,43,42
   1665,MCG 1-13-9,Galaxy,Eri,14,"eF, pL, R, lbM",4,48.2,-,5,25
   1666,MCG 1-13-10,Galaxy,Eri,14,"Size: 1.3  vF, pS, R",4,48.5,-,6,34
   1667,NGC 1689,Galaxy,Eri,12.1,"Size: 1.5  pF, pS, R, r?",4,48.6,-,6,19
   1668,ESO 251-30,Galaxy,Cae,,"eF, R, att to *14",4,46.1,-,44,43
   1669,ESO 84-38,Galaxy,Dor,,"eF, S, R",4,43,-,65,48
